id_product,receita_total_brl,prejuizo_total_brl,percentual_perda
72,63057815.65,39821041.67762,0.6315004931132593
83,44377440.0,18614294.865019996,0.41945400331835264
109,328320.15,102061.30797599998,0.3108591049803065
102,335379.2,96499.70945800001,0.28773313746946744
136,1049801.0,252752.84029000005,0.24076262100150414
47,3184863.8,686056.830629,0.21541167023500346
31,4660491.45,938985.4188900004,0.2014777688069786
42,2810048.65,333495.7968889998,0.11867972353040927
74,59764356.15,6716610.312960002,0.11238488533369738
96,27227868.9,2772187.6795659997,0.10181434653396615
50,5603608.2,563586.9689269998,0.10057572706939072
29,17804264.0,1726751.8090060006,0.09698529571376838
88,22442621.25,2155580.4240870005,0.09604851412296594
107,781887.35,71443.04068399998,0.09137254961856076
122,802274.55,70730.05653400002,0.08816190982750234
55,61224375.0,5371141.283277,0.08772880545170123
19,7492328.0,652347.558889,0.08706874003500648
77,21004486.95,1825325.5299790003,0.08690169554362766
40,6858683.8,586751.6815060002,0.08554872897129333
108,2164907.1,184430.10217400015,0.08519076969815478
106,2420004.35,204192.27571800002,0.08437682176810964
2,8862231.15,742843.5557479996,0.08382127967267018
104,1275786.8,106240.22370999995,0.08327427726168662
132,817527.15,63533.90074799997,0.07771472879891508
36,12750576.4,976343.047558,0.07657246362274257
5,13494880.35,1031771.3994409997,0.07645650592530076
111,1837290.75,137849.28210900005,0.07502856154313085
87,27930725.05,2087688.019820001,0.07474521395641325
119,1668115.45,124376.16941799999,0.0745608881075947
71,81567066.65,6070816.059107995,0.07442729410826489
68,25675107.6,1882050.377948,0.07330253127928468
91,66829268.7,4897166.642307002,0.0732787704784057
34,2279524.75,166627.90447200002,0.0730976509344766
78,58043733.35,4188580.2064640014,0.07216248791591558
120,1739699.5,124689.65277500008,0.07167309801204179
63,68817185.9,4848430.376569999,0.07045377274821113
85,23006404.95,1558769.9356830013,0.06775373810339722
23,5987275.65,404835.0762119998,0.06761590744732118
44,5588763.3,376939.20539000025,0.06744590621506555
143,2075805.45,139821.9758650001,0.06735793851249408
3,4322136.25,286451.0095729999,0.06627533076334646
46,2603273.2,171345.33445999998,0.06581919041766342
84,19827349.3,1292232.6316170008,0.06517425058008136
38,10351595.7,672674.0654939997,0.06498264470413966
65,14137244.7,907170.2547460003,0.06416881605975175
142,411550.1,26222.217160000004,0.06371573511949093
10,13035840.25,828731.36719,0.06357329878984978
32,5661111.95,359817.473571,0.06355950504935695
141,2321325.85,147451.54252200006,0.06352039827670039
137,1628411.45,100792.95559400001,0.06189649157404292
30,19077841.0,1174656.7608079994,0.06157178691278533
147,1326261.95,81569.69580700013,0.06150345774980586
117,1770239.35,108538.86021999996,0.0613130988303926
26,10661130.65,653384.8582210001,0.061286638319266826
11,22650384.0,1384159.1111479998,0.061109741501424425
17,7076248.8,427826.7281419998,0.060459537282239115
138,2179780.65,130281.20742499996,0.05976803557045979
60,53418532.0,3183627.923214,0.059597817536693076
18,15287126.05,896579.7003670002,0.05864932999404425
134,2555054.95,149743.41339799998,0.058606729142165796
118,2104693.9,121378.58054299997,0.05767041969523453
57,44148517.0,2433415.5411530007,0.05511885124370091
98,47088930.65,2566612.4967540023,0.05450564413600678
33,4045248.6,216728.89035800006,0.0535761610196219
140,1715559.05,91291.50280099995,0.053213850494391285
121,1594081.05,84663.11069499998,0.0531109197333473
129,1905993.75,100054.15148000004,0.05249448036227823
135,838627.55,43493.88380900003,0.05186317073532825
115,531036.05,27268.03829700001,0.05134875174105413
28,8486694.85,433002.36371399974,0.051021318825196095
37,3020509.0,153528.18673800013,0.050828581122585675
94,22877526.7,1162312.5750900002,0.05080586683743222
62,44625014.1,2257763.1514959983,0.050594116260368825
145,2398943.7,121369.458513,0.0505928749028166
4,1915160.0,96849.33386799997,0.0505698395267236
67,52820315.75,2612975.439418999,0.049469137060563655
25,5770979.95,283524.70656300016,0.049129386866610086
97,55264073.6,2602385.3292240035,0.047090001871016675
53,26077998.75,1203301.849431,0.046142415335110785
133,987146.6,44527.68453200002,0.045107468872404584
116,1675128.3,74237.95817600003,0.04431777445106744
148,2701447.25,118699.04909100002,0.043939058625335
131,456842.7,20036.479491999995,0.043858596168878244
100,51703898.6,2262425.821535998,0.04375735452831013
73,69554254.8,2988373.670562,0.04296464219413936
114,358759.9,15165.908008999999,0.04227314147707143
144,1139729.85,47875.395087,0.04200591489904383
8,2587770.15,108307.93045900001,0.04185376759949102
101,282745.9,11779.988690000004,0.04166280992933939
45,5783276.45,239058.93381599995,0.041336245272521936
22,24705380.9,1019600.8995450004,0.041270397881013866
146,277313.6,10829.540429999988,0.039051602337570136
150,802757.0,31185.255341999986,0.03884769032471842
99,56095102.95,2163691.4874400003,0.03857184270378454
149,637139.85,24490.747121999986,0.038438573763672115
64,47495794.85,1800229.2529120024,0.03790291874464761
80,67332086.05,2526438.0094240014,0.037522051634459964
54,65859716.1,2438968.1377600017,0.037032776364488484
59,36784114.4,1352433.132447,0.036766771594397826
14,16947590.9,622932.4010959996,0.036756398285257154
48,9081279.75,332403.83785300015,0.03660319327273231
86,45901157.95,1619909.644385002,0.03529125879895154
105,145543.95,5110.178775999996,0.03511089795213058
90,38927756.5,1339415.8166440008,0.03440773209326874
49,6730281.8,229753.46356499998,0.03413727246383651
81,64195127.6,2132144.2036469993,0.03321348961142963
56,24550887.6,814990.9537720003,0.03319598733253132
16,16048709.1,530372.3755439998,0.03304766584273123
15,13966622.75,458329.4032659994,0.032816050914384394
35,6692463.1,215183.04192499985,0.032153041221101374
51,36554590.25,1174753.0716719986,0.03213695089010055
69,26249173.5,826811.3465900004,0.03149856686306715
9,22157655.25,677102.5343680003,0.03055840190346857
82,28700772.7,870785.5412050013,0.030340142765738196
93,46309849.3,1390438.109758002,0.03002467360130239
112,1232787.8,36993.27095700001,0.030007817206659577
21,3879456.5,115931.341528,0.029883397720273448
130,2698421.3,80081.71363200003,0.02967724633362479
66,5470546.8,151910.55941799996,0.02776880720918062
1,17187280.35,469873.23080199974,0.02733842825819733
127,978490.9,26680.31379300001,0.02726679807957336
103,1136043.45,29896.013361,0.026315906632796485
123,976833.25,25556.695044999997,0.026162802141511867
12,1306660.2,34045.50130100001,0.026055359534942604
61,17615312.85,414707.4744259999,0.02354244162209131
52,7764053.75,180713.77503000005,0.023275698603967037
89,40987327.45,945292.4753969992,0.02306304251113106
125,1956700.1,44946.49454299997,0.022970558719243674
110,1376911.55,30584.44007999997,0.0222123491374591
75,11927691.6,260342.06706000018,0.021826693361186516
95,25671902.7,545976.9630159991,0.021267491132085006
6,7663037.2,154369.59528499996,0.020144701279148164
92,40122068.25,725859.4547329999,0.018091277104913452
76,83539339.4,1508559.2288000004,0.018058069882223658
128,2549291.0,45576.048796000054,0.01787793107809193
27,7882563.15,133151.12649700008,0.016891856616080527
70,16629741.7,271391.48952900077,0.01631964551373644
7,7820196.45,126479.90792799994,0.016173494967380256
20,15922388.15,243389.7589919999,0.015286008398934797
58,53378462.75,804097.4030749992,0.015064079436701261
41,5067330.0,72976.49694100009,0.01440137053260792
124,2447622.6,35207.197582,0.014384242726799466
39,15493523.15,218339.72497799995,0.014092322505614222
79,35699451.8,465515.9293299996,0.013039862122756733
43,12661193.95,164419.99208799994,0.012986136436840537
113,2210235.65,26543.69827300004,0.012009442646081671
24,9471755.8,72349.88934599992,0.00763848761240233
13,3774383.0,26811.628249999998,0.007103579114785118
126,1388455.25,7634.6871700000065,0.005498691563880079
139,837046.15,4549.021236000002,0.005434612220604565
